date,actual_energy,predicted_energy,residual,absolute_error,is_anomaly,severity,T1,T_out,RH_1,RH_out,Windspeed,Visibility,Tdewpoint,lights,hour,day_of_week
2016-04-30 08:20:00,370,76.31,293.69,293.69,True,Moderate,21.39,5.66666666666667,38.26,92.6666666666667,1.0,40.0,4.53333333333333,0,8,5
2016-04-30 08:30:00,590,78.04,511.96,511.96,True,High,21.39,5.8,38.1266666666667,91.5,1.0,40.0,4.5,0,8,5
2016-04-30 08:40:00,320,80.31,239.69,239.69,True,Moderate,21.39,5.93333333333333,38.09,90.3333333333333,1.0,40.0,4.46666666666667,0,8,5
2016-04-30 08:50:00,310,102.16,207.84,207.84,False,Normal,21.39,6.06666666666667,38.03,89.1666666666667,1.0,40.0,4.43333333333333,10,8,5
2016-04-30 09:00:00,260,89.04,170.96,170.96,False,Normal,21.323333333333295,6.2,37.9,88.0,1.0,40.0,4.4,0,9,5
2016-04-30 09:10:00,190,91.85,98.15,98.15,False,Normal,21.323333333333295,6.35,37.9,87.1666666666667,1.0,40.0,4.383333333333329,0,9,5
2016-04-30 09:20:00,150,88.1,61.9,61.9,False,Normal,21.323333333333295,6.5,37.79,86.3333333333333,1.0,40.0,4.36666666666667,0,9,5
2016-04-30 09:30:00,130,88.55,41.45,41.45,False,Normal,21.323333333333295,6.65,37.73,85.5,1.0,40.0,4.35,0,9,5
2016-04-30 09:40:00,290,89.28,200.72,200.72,False,Normal,21.29,6.8,37.59,84.6666666666667,1.0,40.0,4.3333333333333295,0,9,5
2016-04-30 09:50:00,490,90.91,399.09,399.09,True,High,21.3566666666667,6.95,37.59,83.8333333333333,1.0,40.0,4.31666666666667,0,9,5
2016-04-30 10:00:00,840,94.6,745.4,745.4,True,High,21.39,7.1,37.7,83.0,1.0,40.0,4.3,0,10,5
2016-04-30 10:10:00,700,98.3,601.7,601.7,True,High,21.39,7.25,37.83333333333329,82.1666666666667,1.0,40.0,4.31666666666667,0,10,5
2016-04-30 10:20:00,430,136.45,293.55,293.55,True,Moderate,21.39,7.4,37.9,81.3333333333333,1.0,40.0,4.3333333333333295,10,10,5
2016-04-30 10:30:00,300,132.12,167.88,167.88,False,Normal,21.39,7.55,37.9,80.5,1.0,40.0,4.35,0,10,5
2016-04-30 10:40:00,310,152.38,157.62,157.62,False,Normal,21.39,7.7,37.9,79.6666666666667,1.0,40.0,4.36666666666667,0,10,5
2016-04-30 10:50:00,290,167.99,122.01,122.01,False,Normal,21.39,7.849999999999999,37.8266666666667,78.8333333333333,1.0,40.0,4.383333333333329,0,10,5
2016-04-30 11:00:00,300,186.58,113.42,113.42,False,Normal,21.39,8.0,37.76,78.0,1.0,40.0,4.4,0,11,5
2016-04-30 11:10:00,240,197.89,42.11,42.11,False,Normal,21.39,8.11666666666667,37.8,77.3333333333333,1.0,37.83333333333329,4.383333333333329,0,11,5
2016-04-30 11:20:00,160,202.31,-42.31,42.31,False,Normal,21.39,8.233333333333329,37.6266666666667,76.6666666666667,1.0,35.66666666666669,4.36666666666667,0,11,5
2016-04-30 11:30:00,90,203.61,-113.61,113.61,False,Normal,21.5,8.349999999999998,37.56,76.0,1.0,33.5,4.35,0,11,5
2016-04-30 11:40:00,70,221.81,-151.81,151.81,False,Normal,21.5,8.46666666666667,37.5,75.3333333333333,1.0,31.3333333333333,4.3333333333333295,10,11,5
2016-04-30 11:50:00,80,194.59,-114.59,114.59,False,Normal,21.5,8.58333333333333,37.363333333333294,74.6666666666667,1.0,29.166666666666696,4.31666666666667,0,11,5
2016-04-30 12:00:00,80,188.39,-108.39,108.39,False,Normal,21.5,8.699999999999998,37.23,74.0,1.0,27.0,4.3,0,12,5
2016-04-30 12:10:00,80,180.87,-100.87,100.87,False,Normal,21.5,8.83333333333333,37.06,73.0,1.0,29.166666666666696,4.21666666666667,0,12,5
2016-04-30 12:20:00,570,177.17,392.83,392.83,True,High,21.5,8.96666666666667,36.933333333333294,72.0,1.0,31.3333333333333,4.133333333333329,0,12,5
2016-04-30 12:30:00,610,188.78,421.22,421.22,True,High,21.5,9.1,38.2666666666667,71.0,1.0,33.5,4.05,0,12,5
2016-04-30 12:40:00,330,190.62,139.38,139.38,False,Normal,21.5,9.233333333333329,37.86,70.0,1.0,35.66666666666669,3.9666666666666694,0,12,5
2016-04-30 12:50:00,350,206.45,143.55,143.55,False,Normal,21.533333333333296,9.36666666666667,37.9233333333333,69.0,1.0,37.83333333333329,3.8833333333333298,0,12,5
2016-04-30 13:00:00,260,218.98,41.02,41.02,False,Normal,21.6,9.5,38.05666666666671,68.0,1.0,40.0,3.8,0,13,5
2016-04-30 13:10:00,270,236.26,33.74,33.74,False,Normal,21.6333333333333,9.66666666666667,37.363333333333294,67.1666666666667,1.33333333333333,37.0,3.7833333333333297,10,13,5
2016-04-30 13:20:00,210,216.05,-6.05,6.05,False,Normal,21.7,9.83333333333333,37.1566666666667,66.3333333333333,1.66666666666667,34.0,3.7666666666666706,0,13,5
2016-04-30 13:30:00,100,214.56,-114.56,114.56,False,Normal,21.7,10.0,36.83333333333329,65.5,2.0,31.0,3.75,0,13,5
2016-04-30 13:40:00,100,212.82,-112.82,112.82,False,Normal,21.7,10.1666666666667,36.5666666666667,64.6666666666667,2.3333333333333295,28.0,3.7333333333333294,0,13,5
2016-04-30 13:50:00,90,206.35,-116.35,116.35,False,Normal,21.73,10.3333333333333,36.33333333333329,63.83333333333329,2.66666666666667,25.0,3.7166666666666694,0,13,5
2016-04-30 14:00:00,100,196.17,-96.17,96.17,False,Normal,21.79,10.5,36.1266666666667,63.0,3.0,22.0,3.7,0,14,5
2016-04-30 14:10:00,110,187.15,-77.15,77.15,False,Normal,21.79,10.5,35.9,62.33333333333329,3.3333333333333295,25.0,3.55,0,14,5
2016-04-30 14:20:00,100,185.48,-85.48,85.48,False,Normal,21.79,10.5,35.7225,61.66666666666671,3.6666666666666705,28.0,3.4,0,14,5
2016-04-30 14:30:00,80,182.09,-102.09,102.09,False,Normal,21.8566666666667,10.5,35.59,61.0,4.0,31.0,3.25,0,14,5
2016-04-30 14:40:00,90,202.6,-112.6,112.6,False,Normal,21.89,10.5,35.56,60.33333333333329,4.3333333333333295,34.0,3.1,10,14,5
2016-04-30 14:50:00,90,178.67,-88.67,88.67,False,Normal,21.89,10.5,35.4333333333333,59.66666666666671,4.66666666666667,37.0,2.95,0,14,5
2016-04-30 15:00:00,80,176.87,-96.87,96.87,False,Normal,21.89,10.5,35.36,59.0,5.0,40.0,2.8,0,15,5
2016-04-30 15:10:00,90,175.06,-85.06,85.06,False,Normal,21.89,10.5333333333333,35.6333333333333,59.5,5.16666666666667,40.0,2.93333333333333,0,15,5
2016-04-30 15:20:00,90,165.2,-75.2,75.2,False,Normal,21.89,10.5666666666667,35.09,60.0,5.3333333333333295,40.0,3.06666666666667,0,15,5
2016-04-30 15:30:00,250,160.56,89.44,89.44,False,Normal,21.89,10.6,35.09,60.5,5.5,40.0,3.2,0,15,5
2016-04-30 15:40:00,390,153.36,236.64,236.64,True,Moderate,21.89,10.6333333333333,35.23,61.0,5.66666666666667,40.0,3.3333333333333295,0,15,5
2016-04-30 15:50:00,190,171.38,18.62,18.62,False,Normal,21.89,10.6666666666667,35.43,61.5,5.8333333333333295,40.0,3.4666666666666694,10,15,5
2016-04-30 16:00:00,100,144.26,-44.26,44.26,False,Normal,21.89,10.7,35.7666666666667,62.0,6.0,40.0,3.6,0,16,5
2016-04-30 16:10:00,280,142.2,137.8,137.8,False,Normal,21.89,10.6666666666667,36.0266666666667,62.33333333333329,6.0,40.0,3.6666666666666705,0,16,5
2016-04-30 16:20:00,560,141.88,418.12,418.12,True,High,21.89,10.6333333333333,37.05666666666671,62.66666666666671,6.0,40.0,3.7333333333333294,0,16,5
2016-04-30 16:30:00,600,153.47,446.53,446.53,True,High,21.89,10.6,38.9966666666667,63.0,6.0,40.0,3.8,0,16,5
2016-04-30 16:40:00,290,190.77,99.23,99.23,False,Normal,21.9266666666667,10.5666666666667,42.7666666666667,63.33333333333329,6.0,40.0,3.86666666666667,10,16,5
2016-04-30 16:50:00,90,167.64,-77.64,77.64,False,Normal,22.0,10.5333333333333,44.69333333333329,63.66666666666671,6.0,40.0,3.9333333333333296,0,16,5
2016-04-30 17:00:00,370,147.29,222.71,222.71,True,Moderate,22.033333333333296,10.5,43.36,64.0,6.0,40.0,4.0,0,17,5
2016-04-30 17:10:00,670,137.43,532.57,532.57,True,High,22.1,10.3666666666667,42.7666666666667,64.5,6.0,40.0,3.95,0,17,5
2016-04-30 17:20:00,230,144.7,85.3,85.3,False,Normal,22.033333333333296,10.2333333333333,41.93,65.0,6.0,40.0,3.9,0,17,5
2016-04-30 17:30:00,160,163.35,-3.35,3.35,False,Normal,22.033333333333296,10.1,41.4566666666667,65.5,6.0,40.0,3.85,0,17,5
2016-04-30 17:40:00,90,175.82,-85.82,85.82,False,Normal,22.0,9.96666666666667,41.145,66.0,6.0,40.0,3.8,0,17,5
2016-04-30 17:50:00,70,176.06,-106.06,106.06,False,Normal,22.0,9.83333333333333,40.863333333333294,66.5,6.0,40.0,3.75,0,17,5
